pmid,pmc_id,title,primary_type,journal,publication_date,doi,has_fulltext,appeared_in_iterations,num_iterations
40597897,PMC12219980,The complex diagnosis of post-dialysis fever: a case report and literature review of infective endocarditis in a dialysis patient.,Review,BMC nephrology,2025-07-01,10.1186/s12882-025-04236-7,True,iteration_1_disease,1
40598396,PMC12210627,Infection prevention and control measures for emerging infectious disease: lessons learned from the first case of imported Lassa fever in China.,Journal Article,Antimicrobial resistance and infection control,2025-07-01,10.1186/s13756-025-01597-4,True,iteration_2_and_3_combined,1
40705280,,Meningoencephalitis Diagnosis Using Contemporary Diagnostic Advancements.,Review,Neurology India,2025-07-01,10.4103/neurol-india.Neurol-India-D-24-00891,False,iteration_2_and_3_combined,1
40597822,PMC12219037,Long COVID in people with mental health disorders: a scoping review.,Journal Article,BMC psychiatry,2025-07-01,10.1186/s12888-025-06935-9,True,"iteration_1_disease, iteration_1_disease",2
40597208,PMC12217812,"Global perspectives on challenges, coping strategies, and future preparedness of nursing home staff during COVID-19: a systematic review and meta-synthesis.",Journal Article,BMC health services research,2025-07-01,10.1186/s12913-025-12926-z,True,"iteration_1_disease, iteration_1_disease",2
40590992,PMC12213884,Borrelia surface proteins: new horizons in Lyme disease diagnosis.,Review,Applied microbiology and biotechnology,2025-07-01,10.1007/s00253-025-13490-6,True,iteration_1_disease,1
40597391,PMC12210830,"MIS-C, inherited metabolic diseases and methylmalonic acidemia: a case report and review of the literature.",Review,Italian journal of pediatrics,2025-07-01,10.1186/s13052-025-02052-1,True,"iteration_1_disease, iteration_1_disease",2
40177821,PMC12380167,Recent Scenario of Diagnostic and Prognostic Biomarkers of Sepsis in Clinical Practice and the Role of Multi-marker Approach: An Update.,Review,Annals of African medicine,2025-07-01,10.4103/aam.aam_50_24,True,iteration_1_disease,1
40597703,PMC12220452,Subacute thyroiditis as a post-COVID-19 complication: a systematic review.,Journal Article,BMC infectious diseases,2025-07-01,10.1186/s12879-025-10518-0,True,"iteration_1_disease, iteration_1_disease",2
40673073,PMC12261255,Research progress on lung cancer complicated with pulmonary tuberculosis: a narrative review.,Review,Translational lung cancer research,2025-06-30,10.21037/tlcr-2025-450,True,iteration_1_disease,1
40608710,,Pulmonary aspergillosis in patients with asthma.,Review,Journal of infection in developing countries,2025-06-30,10.3855/jidc.20711,False,iteration_1_disease,1
40608717,,Diabetic foot osteomyelitis caused by Burkholderia pseudomallei: first case report from Türkiye and a review of literature.,Review,Journal of infection in developing countries,2025-06-30,10.3855/jidc.20687,False,iteration_1_disease,1
41015570,PMC12464920,[An infant with leukemia complicated by Pneumocystisjirovecii pneumonia: A case report and literature review].,Review,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,2025-06-28,10.11817/j.issn.1672-7347.2025.240433,True,iteration_1_disease,1
40575645,PMC12188852,COVID-19 management in patients with comorbid conditions.,Review,World journal of virology,2025-06-25,10.5501/wjv.v14.i2.102674,True,iteration_1_disease,1
40557818,PMC12188635,Low-complexity manual nucleic acid amplification tests for pulmonary tuberculosis in children.,Meta-Analysis,The Cochrane database of systematic reviews,2025-06-25,10.1002/14651858.CD015806.pub2,True,iteration_1_disease,1
40551195,PMC12183878,Technologies for the point-of-care diagnosis of malaria: a scoping review.,Journal Article,Infectious diseases of poverty,2025-06-23,10.1186/s40249-025-01329-1,True,iteration_1_disease,1
40733500,PMC12299889,"Machine Learning and Artificial Intelligence for Infectious Disease Surveillance, Diagnosis, and Prognosis.",Review,Viruses,2025-06-23,10.3390/v17070882,True,iteration_2_and_3_combined,1
40575339,PMC12188760,Hepatocellular carcinoma in patients without cirrhosis.,Review,World journal of gastroenterology,2025-06-21,10.3748/wjg.v31.i23.107100,True,iteration_2_and_3_combined,1
40550072,PMC12187316,"Characterizing neonatal community-acquired invasive fungal infections: Clinical profiles, pathogens, and underlying conditions.",Journal Article,Medicine,2025-06-20,10.1097/MD.0000000000042921,True,iteration_2_and_3_combined,1
40710052,PMC12292998,"Electrochemical Aptamer-Based Biosensors for Sepsis Diagnosis: Recent Advances, Challenges, and Future Perspectives (2020-2025).",Review,Biosensors,2025-06-20,10.3390/bios15070402,True,"iteration_1_disease, iteration_1_disease",2
40533728,PMC12175311,"Stroke incidence, presentation, and outcomes in malaria: a review of current evidence.",Review,Malaria journal,2025-06-18,10.1186/s12936-025-05400-y,True,iteration_1_disease,1
40566007,PMC12194181,Infective Endocarditis During Pregnancy: Challenges and Future Directions.,Review,Journal of clinical medicine,2025-06-16,10.3390/jcm14124262,True,iteration_1_disease,1
40583700,PMC12234140,[Guideline for the diagnosis and treatment of common neonatal diseases in primary healthcare institutions: neonatal pertussis (2025)].,Practice Guideline,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,2025-06-15,10.7499/j.issn.1008-8830.2412132,True,iteration_1_disease,1
40515956,PMC12167255,"AI-driven techniques for detection and mitigation of SARS-CoV-2 spread: a review, taxonomy, and trends.",Review,Clinical and experimental medicine,2025-06-14,10.1007/s10238-025-01753-5,True,"iteration_1_disease, iteration_1_disease",2
40592339,PMC12213175,"Aspergillosis: A comprehensive review of pathogenesis, drug resistance, and emerging therapeutics.",Review,Journal of food and drug analysis,2025-06-13,10.38212/2224-6614.3547,True,iteration_1_disease,1
40558595,PMC12192536,Integration of AI and ML in Tuberculosis (TB) Management: From Diagnosis to Drug Discovery.,Review,"Diseases (Basel, Switzerland)",2025-06-11,10.3390/diseases13060184,True,iteration_1_disease,1
40563486,PMC12191158,Diagnosis of Inherited Platelet Disorders: Clinical Evaluation and Functional and Molecular Assays.,Review,Biomolecules,2025-06-10,10.3390/biom15060846,True,iteration_2_and_3_combined,1
39945417,,To prophylax or not to prophylax? The role of trimethoprim/sulfamethoxazole as a prophylactic agent in systemic vasculitis: the case of antineutrophil cytoplasmic antibody-associated vasculitis and giant cell arteritis.,Review,Reumatismo,2025-06-10,10.4081/reumatismo.2025.1791,False,iteration_2_and_3_combined,1
40488888,PMC12149015,Wells syndrome: emerging triggers and treatments- an updated systematic review.,Journal Article,Archives of dermatological research,2025-06-09,10.1007/s00403-025-04305-9,True,"iteration_1_disease, iteration_1_disease, iteration_1_disease",3
40572747,PMC12194928,Bio-Adrenomedullin and Dipeptidyl Peptidase 3 as Novel Sepsis Biomarkers in the Emergency Department and the Intensive Care Unit: A Narrative Review.,Review,"Medicina (Kaunas, Lithuania)",2025-06-09,10.3390/medicina61061059,True,iteration_1_disease,1
40490749,PMC12150471,Eliminating malaria in Nigeria: insights from Egypt's success and pathways to sustainable eradication.,Review,Malaria journal,2025-06-09,10.1186/s12936-025-05391-w,True,iteration_1_disease,1
40490740,PMC12147346,Procalcitonin and biomarkers for stroke-associated pneumonia: a systematic review and meta-analysis.,Meta-Analysis,BMC pulmonary medicine,2025-06-09,10.1186/s12890-025-03750-6,True,"iteration_1_disease, iteration_2_and_3_combined",2
40489852,PMC12150985,"Climate change and medical laboratory operations: Impacts, challenges, and adaptation strategies: A narrative review.",Review,Medicine,2025-06-06,10.1097/MD.0000000000042718,True,"iteration_1_disease, iteration_1_disease",2
40559561,PMC12195793,Beyond Mosquitoes: A Review of Pediatric Vector-Borne Diseases Excluding Malaria and Arboviral Infections.,Review,"Pathogens (Basel, Switzerland)",2025-06-02,10.3390/pathogens14060553,True,iteration_1_disease,1
40226933,PMC12147518,Trichomoniasis and Other Sexually Transmitted Parasitic Diseases in Women.,Review,Clinical obstetrics and gynecology,2025-06-01,10.1097/GRF.0000000000000945,True,iteration_2_and_3_combined,1
40488741,PMC12151020,Why Has Biomarker-Guided Fluid Resuscitation for Sepsis Not Been Implemented in Clinical Practice?,Review,Critical care explorations,2025-06-01,10.1097/CCE.0000000000001274,True,iteration_1_disease,1
40559555,PMC12195974,Cryptococcal Endocarditis in Humans-A Narrative Review.,Review,"Pathogens (Basel, Switzerland)",2025-05-31,10.3390/pathogens14060547,True,"iteration_1_disease, iteration_2_and_3_combined",2
40452537,,"Meta-analysis of the accuracy of CD64, HBP, and PCT in differential diagnosis of sepsis patients.",Meta-Analysis,Journal of infection in developing countries,2025-05-31,10.3855/jidc.20063,False,iteration_1_disease,1
40452530,,A fatal post-COVID-19 sino-orbital mucormycosis in an adult patient with diabetes mellitus: a case report and review of the literature.,Review,Journal of infection in developing countries,2025-05-31,10.3855/jidc.16526,False,"iteration_1_disease, iteration_1_disease, iteration_1_disease",3
40573380,PMC12197516,Neonatal Meningitis Due to Herpes Simplex Virus Type 1 and Enterovirus Coinfection: Case Report and Review of the Literature.,Review,Viruses,2025-05-30,10.3390/v17060790,True,iteration_1_disease,1
40440696,PMC12163355,25 Years of Digital Health Toward Universal Health Coverage in Low- and Middle-Income Countries: Rapid Systematic Review.,Journal Article,Journal of medical Internet research,2025-05-29,10.2196/59042,True,"iteration_1_disease, iteration_1_disease",2
40572690,PMC12195327,Standardized Definition of Red Flags in Musculoskeletal Care: A Comprehensive Review of Clinical Practice Guidelines.,Journal Article,"Medicina (Kaunas, Lithuania)",2025-05-28,10.3390/medicina61061002,True,"iteration_1_disease, iteration_1_disease",2
40559719,PMC12197469,Advances in Diagnostic Techniques for Influenza Virus Infection: A Comprehensive Review.,Review,Tropical medicine and infectious disease,2025-05-28,10.3390/tropicalmed10060152,True,iteration_1_disease,1
40434434,PMC12119779,Molecular basis of autism spectrum disorders.,Review,Molecular biology reports,2025-05-28,10.1007/s11033-025-10604-1,True,iteration_2_and_3_combined,1
40501479,PMC12149898,Acute liver failure from anti-tuberculosis drug-induced liver injury: An update.,Review,World journal of hepatology,2025-05-27,10.4254/wjh.v17.i5.106618,True,iteration_1_disease,1
40426268,PMC12107866,Four challenging cases of eosinophilic endocarditis or myocarditis with literature review.,Review,Journal of cardiothoracic surgery,2025-05-27,10.1186/s13019-025-03496-6,True,iteration_1_disease,1
40411718,PMC12102823,Health economic evaluations of diagnostic tests for tuberculosis: a narrative review.,Review,Health economics review,2025-05-24,10.1186/s13561-025-00639-2,True,iteration_1_disease,1
40419900,PMC12114018,Highly elevated sepsis biomarkers in advanced cholangiocarcinoma without sepsis: A case report and literature review.,Review,Medicine,2025-05-23,10.1097/MD.0000000000042115,True,iteration_1_disease,1
40419935,PMC12114049,Approach and overview of autoimmune encephalitis: A review.,Review,Medicine,2025-05-23,10.1097/MD.0000000000042472,True,iteration_2_and_3_combined,1
40559526,PMC12196431,From Culture-Negative to DNA-Positive: The Molecular Revolution in Infective Endocarditis Diagnosis.,Review,"Pathogens (Basel, Switzerland)",2025-05-23,10.3390/pathogens14060518,True,iteration_1_disease,1
40573879,PMC12197400,Cardiopulmonary Effects of COVID-19 Vaccination: A Comprehensive Narrative Review.,Review,Vaccines,2025-05-22,10.3390/vaccines13060548,True,iteration_1_disease,1
40399982,PMC12096600,Current update on malaria in pregnancy: a systematic review.,Review,"Tropical diseases, travel medicine and vaccines",2025-05-22,10.1186/s40794-025-00248-1,True,iteration_1_disease,1
40405102,PMC12100964,Molecular insights and clinical implications of DNA methylation in sepsis-associated acute kidney injury: a narrative review.,Review,BMC nephrology,2025-05-22,10.1186/s12882-025-04179-z,True,iteration_1_disease,1
40563989,PMC12189726,Malaria Vaccines and Global Equity: A Scoping Review of Current Progress and Future Directions.,Review,Biomedicines,2025-05-22,10.3390/biomedicines13061270,True,iteration_1_disease,1
40497938,PMC12153545,"Dynamics of Innate Immunity in SARS-CoV-2 Infections: Exploring the Impact of Natural Killer Cells, Inflammatory Responses, Viral Evasion Strategies, and Severity.",Review,Cells,2025-05-22,10.3390/cells14110763,True,"iteration_1_disease, iteration_1_disease",2
40397177,PMC12095430,Exploring real-time PCR techniques for diagnosing leishmaniasis: key insights from a systematic review.,Journal Article,Parasitology research,2025-05-21,10.1007/s00436-025-08503-2,True,iteration_1_disease,1
40407696,PMC12101336,IgM Antibody Detection as a Diagnostic Marker for Acute Toxoplasmosis: Current Status of Studies and Main Limitations.,Review,"Antibodies (Basel, Switzerland)",2025-05-21,10.3390/antib14020044,True,iteration_1_disease,1
40383753,PMC12087146,A novel pan-Leishmania loop-mediated isothermal amplification (Loopamp) assay for diagnosis of cutaneous and visceral leishmaniasis: a systematic review and meta-analysis.,Meta-Analysis,BMC infectious diseases,2025-05-19,10.1186/s12879-025-11091-2,True,iteration_1_disease,1
40429966,PMC12112447,Biomarkers as Beacons: Illuminating Sepsis-Associated Hepato-Renal Injury.,Review,International journal of molecular sciences,2025-05-18,10.3390/ijms26104825,True,iteration_1_disease,1
40423365,PMC12115772,Visceral Leishmaniasis in Pediatrics: A Case Series and a Narrative Review with Global Insights.,Review,Tropical medicine and infectious disease,2025-05-17,10.3390/tropicalmed10050136,True,iteration_1_disease,1
40379273,PMC12086929,A methodological review of patient healthcare-seeking journeys from symptom onset to receipt of care.,Review,BMJ global health,2025-05-16,10.1136/bmjgh-2024-016978,True,iteration_1_disease,1
40373033,PMC12097452,Evaluating Generative AI in Mental Health: Systematic Review of Capabilities and Limitations.,Journal Article,JMIR mental health,2025-05-15,10.2196/70014,True,"iteration_1_disease, iteration_1_disease",2
40623898,PMC12268285,[Chinese expert consensus on the diagnosis and treatment strategies for refractory/resistant cytomegalovirus infection in immunocompromised populations (2025)].,Consensus Development Conference,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,2025-05-14,10.3760/cma.j.cn121090-20250112-00024,True,iteration_1_disease,1
40429436,PMC12112743,Diagnostic and Therapeutic Challenges Between Peripartum and Influenza-Induced Inflammatory Cardiomyopathy-A Case Report and Literature Review.,Review,Journal of clinical medicine,2025-05-14,10.3390/jcm14103440,True,iteration_1_disease,1
40172196,PMC12077096,"Key fungal coinfections: epidemiology, mechanisms of pathogenesis, and beyond.",Review,mBio,2025-05-14,10.1128/mbio.00562-25,True,"iteration_1_disease, iteration_1_disease",2
40430794,PMC12115118,Cardiac Device-Related Infective Endocarditis Caused by Salmonella Infantis-Case Report and Review of Clinical and Epidemiologic Implications.,Review,"Pathogens (Basel, Switzerland)",2025-05-14,10.3390/pathogens14050474,True,iteration_1_disease,1
40350428,PMC12067729,The role and interaction of hypothalamic-related neurotransmitters in migraine.,Review,The journal of headache and pain,2025-05-12,10.1186/s10194-025-02044-w,True,"iteration_2_and_3_combined, iteration_2_and_3_combined",2
40349023,PMC12066074,The rising threat of Nipah virus: a highly contagious and deadly zoonotic pathogen.,Review,Virology journal,2025-05-10,10.1186/s12985-025-02728-4,True,iteration_2_and_3_combined,1
40431702,PMC12115909,Receptor Binding for the Entry Mechanisms of SARS-CoV-2: Insights from the Original Strain and Emerging Variants.,Review,Viruses,2025-05-10,10.3390/v17050691,True,"iteration_1_disease, iteration_1_disease",2
40422702,PMC12112950,Mucormycosis Caused by Apophysomyces elegans-A Case Report and Systematic Review of the Literature of Rhino-Orbito-Cerebral Cases of the Genus Apophysomyces.,Review,"Journal of fungi (Basel, Switzerland)",2025-05-09,10.3390/jof11050368,True,iteration_1_disease,1
40428193,PMC12110099,Ten Questions on Using Lung Ultrasonography to Diagnose and Manage Pneumonia in Hospital-at-Home Model: Part II-Confounders and Mimickers.,Review,"Diagnostics (Basel, Switzerland)",2025-05-09,10.3390/diagnostics15101200,True,iteration_1_disease,1
40429667,PMC12111063,Endoplasmic Reticulum Stress in Tuberculosis: Molecular Bases and Pathophysiological Implications in the Immunopathogenesis of the Disease.,Review,International journal of molecular sciences,2025-05-09,10.3390/ijms26104522,True,iteration_1_disease,1
40341071,PMC12063459,Presentation of a residual post-myocardial infarction ventricular septal defect; a literature review based on a case report.,Review,Journal of cardiothoracic surgery,2025-05-09,10.1186/s13019-025-03440-8,True,"iteration_1_disease, iteration_1_disease",2
40346456,PMC12065352,Community-acquired pneumonia associated with influenza co-infection caused by fusobacterium necrophorum: a case report and literature review.,Review,BMC infectious diseases,2025-05-09,10.1186/s12879-025-11079-y,True,"iteration_1_disease, iteration_1_disease",2
40340798,PMC12063463,"The impact of mass screening and treatment interventions on malaria incidence and prevalence: a retrospective analysis of a malaria elimination programme in eastern Myanmar, and systematic review and meta-analysis.",Meta-Analysis,Malaria journal,2025-05-08,10.1186/s12936-025-05392-9,True,iteration_1_disease,1
40361999,PMC12071232,A Closer Look at Periocular Necrotizing Fasciitis: A Systematic Review of Literature.,Review,"Diagnostics (Basel, Switzerland)",2025-05-07,10.3390/diagnostics15091181,True,iteration_1_disease,1
40329230,PMC12054320,"Assessment of simultaneous IgM, IgG avidity, and IgA testing in diagnosis of acute toxoplasmosis in pregnant women: a systematic review and meta-analysis study.",Meta-Analysis,BMC pregnancy and childbirth,2025-05-06,10.1186/s12884-025-07580-6,True,iteration_1_disease,1
40422696,PMC12112819,Management of Intra-Abdominal Candidiasis in Intensive Care Setting: A Narrative Review.,Review,"Journal of fungi (Basel, Switzerland)",2025-05-06,10.3390/jof11050362,True,iteration_1_disease,1
40325428,PMC12051264,The application of metagenomic next generation sequencing in diagnosing tuberculous otitis media: a case report and review of the literature.,Review,Journal of medical case reports,2025-05-05,10.1186/s13256-025-05257-4,True,iteration_1_disease,1
40641697,PMC12244272,Disseminated Herpes Simplex Virus-1 in Previously Healthy Child Without Skin Rash: Case report and literature review.,Review,Sultan Qaboos University medical journal,2025-05-02,10.18295/squmj.6.2024.042,True,iteration_1_disease,1
40641687,PMC12244251,Symmetrical Peripheral Gangrene Associated with Plasmodium Vivax Malaria: A case report with a brief review of literature.,Review,Sultan Qaboos University medical journal,2025-05-02,10.18295/2075-0528.2842,True,iteration_1_disease,1
39964676,PMC11970600,HIV diagnosis during acute infection: implications of long-acting preexposure prophylaxis and other evolving challenges.,Review,Current opinion in HIV and AIDS,2025-05-01,10.1097/COH.0000000000000919,True,iteration_2_and_3_combined,1
40172545,PMC11970614,Syndromic approaches for sexually transmitted infections: added value of molecular diagnosis.,Review,Current opinion in HIV and AIDS,2025-05-01,10.1097/COH.0000000000000932,True,iteration_2_and_3_combined,1
40312682,PMC12046738,An urgent call to publish COVID-19 trials: a systematic search revealed ZERO studies regarding the incidence of thromboembolic events in SARS-CoV-2 Omicron-infected COVID-19 patients.,Letter,"Critical care (London, England)",2025-05-01,10.1186/s13054-025-05395-7,True,"iteration_1_disease, iteration_1_disease",2
40048580,PMC11970592,Zika virus: an overview update.,Review,Current opinion in HIV and AIDS,2025-05-01,10.1097/COH.0000000000000926,True,iteration_2_and_3_combined,1
40430764,PMC12113956,Is Pulmonary Mycoses Shadowed by Tuberculosis? Mandate to Hit the Bull's Eye-An Indian Perspective.,Review,"Pathogens (Basel, Switzerland)",2025-04-30,10.3390/pathogens14050435,True,iteration_1_disease,1
40385279,PMC12082189,Applications of multi-modality imaging in the diagnosis of infective endocarditis: a real-life case based contemporary narrative review.,Review,Cardiovascular diagnosis and therapy,2025-04-30,10.21037/cdt-2024-605,True,iteration_1_disease,1
40299136,PMC12040984,A comprehensive review of pathology and treatment of staphylococcus aureus osteomyelitis.,Review,Clinical and experimental medicine,2025-04-29,10.1007/s10238-025-01595-1,True,iteration_1_disease,1
40301746,PMC12042635,Differences in chest imaging between Omicron and non-Omicron coronavirus disease 2019 (COVID-19) patients: a systematic review and meta-analysis.,Meta-Analysis,BMC infectious diseases,2025-04-29,10.1186/s12879-025-11032-z,True,"iteration_1_disease, iteration_1_disease",2
40364014,PMC12072531,Immunomodulation in Pediatric Sepsis: A Narrative Review.,Review,Journal of clinical medicine,2025-04-25,10.3390/jcm14092983,True,iteration_1_disease,1
40427798,PMC12110768,Private Sector Engagement for Tuberculosis Services in Latin America: A Systematic Review.,Journal Article,International journal of environmental research and public health,2025-04-25,10.3390/ijerph22050681,True,iteration_1_disease,1
40431146,PMC12114365,The Role of Salivary Diagnostic Techniques in Screening for Active Pulmonary Tuberculosis: A Systematic Review and Meta-Analysis.,Review,Microorganisms,2025-04-24,10.3390/microorganisms13050973,True,iteration_1_disease,1
40270022,PMC12020267,Plasmodium cynomolgi: potential emergence of new zoonotic malaria in Southeast Asia.,Review,Parasites & vectors,2025-04-23,10.1186/s13071-025-06784-1,True,"iteration_1_disease, iteration_2_and_3_combined",2
40309980,,[Venereal diseases in Denmark].,Review,Ugeskrift for laeger,2025-04-21,10.61409/V05240335,False,iteration_1_disease,1
40333344,PMC12031201,"Viral Infections in Elderly Individuals: A Comprehensive Overview of SARS-CoV-2 and Influenza Susceptibility, Pathogenesis, and Clinical Treatment Strategies.",Review,Vaccines,2025-04-21,10.3390/vaccines13040431,True,iteration_1_disease,1
40258740,PMC12014119,Nuances in the global impact of COVID-19 on tuberculosis control efforts: An updated review.,Review,Medicine,2025-04-18,10.1097/MD.0000000000042195,True,"iteration_1_disease, iteration_1_disease",2
40284229,PMC12030604,Small Intestinal Bacterial and Fungal Overgrowth: Health Implications and Management Perspectives.,Review,Nutrients,2025-04-17,10.3390/nu17081365,True,iteration_2_and_3_combined,1
40237463,PMC12001871,Vaccines for preventing infections in adults with solid tumours.,Meta-Analysis,The Cochrane database of systematic reviews,2025-04-16,10.1002/14651858.CD015551.pub2,True,iteration_1_disease,1
40241147,PMC12004621,Role of nutrient supplements in children with post-COVID condition: a retrospective preliminary observation and narrative review.,Review,Italian journal of pediatrics,2025-04-16,10.1186/s13052-025-01961-5,True,iteration_1_disease,1
40068523,,"GLP-1 as a regulator of sepsis outcomes: Insights into cellular metabolism, inflammation, and therapeutic potential.",Review,International immunopharmacology,2025-04-16,10.1016/j.intimp.2025.114390,False,iteration_1_disease,1
40094211,PMC12132861,Blood Culture-Negative Endocarditis: A Scientific Statement From the American Heart Association: Endorsed by the International Society for Cardiovascular Infectious Diseases.,Practice Guideline,Journal of the American Heart Association,2025-04-15,10.1161/JAHA.124.040218,True,"iteration_1_disease, iteration_2_and_3_combined",2
40227365,PMC11997019,Non-celiac Enteropathies.,Review,Current gastroenterology reports,2025-04-14,10.1007/s11894-025-00979-3,True,iteration_2_and_3_combined,1
40310141,PMC12025652,Advances in Artificial Intelligence and Machine Learning for Precision Medicine in Necrotizing Enterocolitis and Neonatal Sepsis: A State-of-the-Art Review.,Review,"Children (Basel, Switzerland)",2025-04-13,10.3390/children12040498,True,iteration_1_disease,1
40211203,PMC11983860,Barriers and facilitators to pediatric tuberculosis management in India: a systematic review.,Journal Article,BMC infectious diseases,2025-04-10,10.1186/s12879-025-10863-0,True,iteration_1_disease,1
40278118,PMC12028458,Gastrointestinal and Intra-Abdominal Mucormycosis in Non-Haematological Patients-A Comprehensive Review.,Review,"Journal of fungi (Basel, Switzerland)",2025-04-09,10.3390/jof11040298,True,iteration_1_disease,1
40284692,PMC12029436,The Potential of Probiotics in Reducing Ventilator-Associated Pneumonia: A Literature-Based Analysis.,Review,Microorganisms,2025-04-09,10.3390/microorganisms13040856,True,"iteration_1_disease, iteration_1_disease",2
40333137,PMC12030482,Change of Heart: Can Artificial Intelligence Transform Infective Endocarditis Management?,Review,"Pathogens (Basel, Switzerland)",2025-04-09,10.3390/pathogens14040371,True,iteration_1_disease,1
40310302,PMC12025697,"Cutaneous Leishmaniasis in the Context of Global Travel, Migration, Refugee Populations, and Humanitarian Crises.",Review,Clinics and practice,2025-04-08,10.3390/clinpract15040077,True,iteration_1_disease,1
40298544,PMC12024307,Antibiotic Considerations in the Treatment of Maternal Sepsis.,Review,"Antibiotics (Basel, Switzerland)",2025-04-07,10.3390/antibiotics14040387,True,iteration_1_disease,1
40175917,PMC11963497,Cryptococcus albidus fungemia and probable meningitis in very preterm newborn: a case report and review of the literature.,Review,BMC pediatrics,2025-04-02,10.1186/s12887-025-05614-8,True,"iteration_1_disease, iteration_2_and_3_combined",2
40168509,PMC11961057,The COVID-19 pandemic in children and young people during 2022-24: what new did we learn?,Review,Journal of global health,2025-04-02,10.7189/jogh.15.01002,True,iteration_1_disease,1
39373250,,Accelerating the fight towards malaria elimination: Bridging gaps to achieve health equity in India.,Review,Journal of vector borne diseases,2025-04-01,10.4103/JVBD.JVBD_92_24,False,iteration_1_disease,1
40244141,PMC11989690,"Systemic Inflammatory Response Syndrome, Thromboinflammation, and Septic Shock in Fetuses and Neonates.",Review,International journal of molecular sciences,2025-04-01,10.3390/ijms26073259,True,"iteration_1_disease, iteration_2_and_3_combined",2
40283948,PMC12030471,Selected Medicinal Plants Used in the Treatment and Management of Tuberculosis and Related Symptoms in South Africa.,Review,"Pharmaceuticals (Basel, Switzerland)",2025-03-31,10.3390/ph18040513,True,iteration_1_disease,1
40218223,PMC11988331,Neuroinflammatory Mechanisms of Adult Sepsis-Associated Encephalopathy: Implications for Blood-Brain Barrier Disruption and Oxidative Stress.,Review,"Diagnostics (Basel, Switzerland)",2025-03-30,10.3390/diagnostics15070873,True,iteration_1_disease,1
40148753,PMC11948906,Infective endocarditis caused by Streptococcus sinensis diagnosed with next-generation sequencing: a case report and literature review.,Review,BMC infectious diseases,2025-03-27,10.1186/s12879-025-10837-2,True,iteration_1_disease,1
40278079,PMC12028288,Invasive Candidiasis in the Intensive Care Unit: Where Are We Now?,Review,"Journal of fungi (Basel, Switzerland)",2025-03-27,10.3390/jof11040258,True,iteration_1_disease,1
40284927,PMC12031395,Myocarditis and Inflammatory Cardiomyopathy in Dilated Heart Failure.,Review,Viruses,2025-03-27,10.3390/v17040484,True,"iteration_1_disease, iteration_1_disease",2
40140854,PMC11948864,Treatment of sinusitis in children: an Italian intersociety consensus (SIPPS-SIP-SITIP-FIMP-SIAIP-SIMRI-SIM-FIMMG).,Practice Guideline,Italian journal of pediatrics,2025-03-26,10.1186/s13052-025-01868-1,True,"iteration_2_and_3_combined, iteration_2_and_3_combined",2
40282891,PMC12028540,Immunosuppressive Therapy for Usual Interstitial Pneumonia in Autoimmune Rheumatic Diseases: A Review.,Review,"Medicina (Kaunas, Lithuania)",2025-03-26,10.3390/medicina61040599,True,iteration_1_disease,1
40159734,,Review of current knowledge about infections accompanied by paediatric acute lymphoblastic leukemia with emphasis on challenges regarding the treatment of refugees.,Review,Annals of agricultural and environmental medicine : AAEM,2025-03-25,10.26444/aaem/195393,False,iteration_1_disease,1
40333047,PMC12030515,The Role of Blastocystis spp. in the Etiology of Gastrointestinal and Autoimmune Diseases.,Review,"Pathogens (Basel, Switzerland)",2025-03-25,10.3390/pathogens14040313,True,iteration_1_disease,1
40128446,PMC12327210,Increasing Access To Sexually Transmitted Infection Testing: The Promise of Point-of-Care and Over-the-Counter Tests.,Review,Current HIV/AIDS reports,2025-03-25,10.1007/s11904-025-00736-1,True,iteration_2_and_3_combined,1
40152570,,Peripheral Nervous System Complications after COVID-19 Vaccination.,Review,Journal of integrative neuroscience,2025-03-25,10.31083/JIN26632,False,iteration_1_disease,1
40284561,PMC12029831,Treatment Protocols for Gestational and Congenital Toxoplasmosis: A Systematic Review and Meta-Analysis.,Review,Microorganisms,2025-03-24,10.3390/microorganisms13040723,True,iteration_1_disease,1
40122135,PMC11930391,Truenat MTB assays for pulmonary tuberculosis and rifampicin resistance in adults and adolescents.,Meta-Analysis,The Cochrane database of systematic reviews,2025-03-24,10.1002/14651858.CD015543.pub2,True,iteration_1_disease,1
40278759,PMC12030780,Neonatal Mucormycosis: A Rare but Highly Lethal Fungal Infection in Term and Preterm Newborns-A 20-Year Systematic Review.,Review,Tropical medicine and infectious disease,2025-03-24,10.3390/tropicalmed10040086,True,iteration_1_disease,1
40277804,PMC12026337,A Comprehensive Review of Candidemia and Invasive Candidiasis in Adults: Focus on the Emerging Multidrug-Resistant Fungus Candida auris.,Review,"Diseases (Basel, Switzerland)",2025-03-24,10.3390/diseases13040093,True,iteration_1_disease,1
40217604,PMC11989680,"Coinfections in Tuberculosis in Low- and Middle-Income Countries: Epidemiology, Clinical Implications, Diagnostic Challenges, and Management Strategies-A Narrative Review.",Review,Journal of clinical medicine,2025-03-21,10.3390/jcm14072154,True,iteration_1_disease,1
